"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"50","311.1760193204419","170.38733926546462","4.879032982277444","-0.3096877134937021","0.0026999999999999247","0.0040000000000000036","0.0014","1216","0.00019847196777141206","0","0.00019847196777141206","0.00019847196777141206","50_51:0.011505298022095128","50_51:341.3333333333333","true"
"51","394.23739473525416","436.2143552768494","4.7673640034184155","-0.31093959212206534","0.016199999999999992","0.0192","0.01319999999999999","1216","0.000239629588381085","0","0.000239629588381085","0.000239629588381085","","","true"
"52","130.87835705001856","21.387243935695263","4.854888714566652","-0.30959763676674124","0.07099999999999995","0.0352","0.1068","1216","0.0009545579868157571","0","0.0009545579868157571","0.0009545579868157571","52_37:0.023031393222687963","52_37:533.3333333333333","true"
"53","202.46269609037242","213.76878680737028","4.7677906765679605","-0.3105625096653012","0.01319999999999999","0.015000000000000013","0.0114","1216","0.0008513592703829723","0","0.0008513592703829723","0.0008513592703829723","53_60:0.02083905160000077","53_60:533.3333333333333","true"
"54","155.2818490858803","59.919001108459945","4.821586433287452","-0.310411116462148","0.03180000000000005","0.026","0.03759999999999997","1216","0.0002655321392944719","0","0.0002655321392944719","0.0002655321392944719","54_45:0.006579321056259718","54_45:533.3333333333333","true"
"55","264.8402640331878","137.44898619318704","4.907505551608643","-0.3099926060240599","0.0232","0.03700000000000003","0.0094","1216","0.004237589876103198","0","0.004237589876103198","0.004237589876103198","55_49:0.021980986048045964","55_49:533.3333333333333","true"
"56","173.46210689523429","16.932450054168168","4.455280719207545","-0.31803803916063483","0.03333333333333344","0.050000000000000044","0.016666666666666666","1216","0.0003251664806220331","0","0.0003251664806220331","0.0003251664806220331","56_52:1;56_57:1","56_52:881.7777777777777;56_57:768","true"
"57","312.34191751807157","2.4910460344733822","4.834732632595024","-0.31001546755225406","0.08020000000000005","0.059","0.10140000000000005","1216","0.0038259677274703756","0","0.0038259677274703756","0.0038259677274703756","57_58:0.06937611963207752","57_58:533.3333333333333","true"
"58","424.8607287690034","111.4431193709661","4.70869927215245","-0.31366733324274093","0.009299999999999975","0.0112","0.007399999999999962","1216","0.00032225053814572167","0","0.00032225053814572167","0.00032225053814572167","","","true"
"59","341.0716831120735","405.91061619701634","4.810871384905674","-0.3102363990787504","0.016000000000000014","0.0172","0.014800000000000035","1216","0.00015079605918142473","0","0.00015079605918142473","0.00015079605918142473","59_60:0.006452190031089822;59_58:0.00628605649649433","59_60:533.3333333333333;59_58:533.3333333333333","true"
